date,ward_id,hotspots,hotspots_48h,pm25_coverage,pm25_mean,pm25_mean_7d,pm25_slope_7d,humidity_mean,humidity_7d,humidity_trend_7d,temp_max,wind_max,precipitation_sum,days_since_rain,green_cover_pct,market_flag,income_ord,festival_window,doy_sin,doy_cos,burn_day,split_year
2023-03-08,wagholi,0,0.0,1.0,43.25416666666666,46.31547619047619,0.9976190476190477,41,33.0,2.857142857142857,33.6,15.5,0.0,87,8,1,0,1,0.9138076496466615,0.4061472386305789,0,2023
2023-03-09,wagholi,0,0.0,1.0,32.84583333333333,46.94523809523809,0.6297619047619045,31,35.142857142857146,2.142857142857143,33.6,14.5,0.0,88,8,1,0,1,0.9206588168102428,0.3903682146763026,0,2023
2023-03-10,wagholi,0,0.0,1.0,32.645833333333336,46.119642857142864,-0.8255952380952384,30,35.42857142857143,0.2857142857142857,34.4,11.2,0.0,89,8,1,0,1,0.9272375462179537,0.374473674486883,0,2023
2023-03-11,wagholi,0,0.0,1.0,33.24166666666667,44.503571428571426,-1.6160714285714286,30,35.42857142857143,0.0,35.6,16.8,0.0,90,8,1,0,1,0.9335418911179212,0.35846832151248087,0,2023
2023-03-12,wagholi,0,0.0,1.0,46.4625,42.10238095238095,-2.4011904761904765,31,35.42857142857143,0.0,35.3,15.4,0.0,91,8,1,0,1,0.9395699859530622,0.342356891994542,0,2023
2023-03-13,wagholi,0,0.0,1.0,48.512499999999996,40.85535714285714,-1.247023809523809,32,35.714285714285715,0.2857142857142857,35.3,13.8,0.0,92,8,1,0,1,0.945320046913132,0.3261441535642696,0,2023
2023-03-14,wagholi,0,0.0,1.0,53.37916666666667,40.464285714285715,-0.3910714285714292,37,34.714285714285715,-1.0,35.0,14.2,0.0,93,8,1,0,0,0.9507903724625832,0.3098349038318025,0,2023
2023-03-15,wagholi,0,0.0,1.0,51.93333333333334,41.47738095238095,1.0130952380952383,37,33.142857142857146,-1.5714285714285714,33.5,18.7,0.1,94,8,1,0,0,0.9559793438440766,0.2934339689665273,0,2023
2023-03-16,wagholi,0,0.0,1.0,51.824999999999996,42.717261904761905,1.2398809523809535,56,32.57142857142857,-0.5714285714285714,33.2,14.8,3.2,0,8,1,0,0,0.9608854255574977,0.27694620226893646,0,2023
2023-03-17,wagholi,0,0.0,1.0,58.86666666666667,45.42857142857143,2.7113095238095233,57,36.142857142857146,3.5714285714285716,32.2,16.5,0.0,1,8,1,0,0,0.9655071658143364,0.2603764827344581,0,2023
2023-03-18,wagholi,0,0.0,1.0,52.9375,49.17440476190476,3.745833333333333,51,40.0,3.857142857142857,32.3,17.1,0.1,2,8,1,0,0,0.969843196967294,0.24372971360968387,0,2023
2023-03-19,wagholi,0,0.0,1.0,36.775,51.988095238095234,2.813690476190476,55,43.0,3.0,32.2,23.8,0.0,3,8,1,0,0,0.9738922359149924,0.22701082094141847,0,2023
